教材順,カード順,異名,名前,時代,属性（自動）,身分,生没年,開戦前の石高,開戦後の石高,兵力,イラスト説明1のタイトル,イラスト説明1キャラ,イラスト説明1,イラスト説明2のタイトル,イラスト説明2キャラ,イラスト説明2,鎧紹介タイトル,鎧紹介キャラ,鎧紹介内容,効果名1,効果名2,どうしてQキャラ,どうしてQ,どうしてA,関ヶ原ではQキャラ,関ヶ原ではQ,関ヶ原ではA,関ヶ原の後Qキャラ,関ヶ原の後Q,関ヶ原の後A,クイズ,コメント,コラム,カード画像,東西,パラメータ1（知恵）,パラメータ2（忠義）,パラメータ3（勇気）,パラメータ4（武力）,パラメータ5（魅力）,パラメータ6の名前,パラメータ6の値,レーダーチャート解説キャラ,レーダーチャート解説,家紋名,文字数
1,8,貂の皮を被った,脇坂安治,戦国/江戸時代,武士・水軍・西軍・洲本藩,武士・水軍・西軍・洲本藩,1554～1626(47/73才),淡路国洲本城33000石,淡路国洲本城33000石,1000,貂,サリー1,脇坂家は貂の皮を代々の馬印にしたのよ。,槍の柄,ジェンキンス1,安治は賤ヶ岳の七本槍の一人で十文字槍の使い手だったという。,(兜の名称不明)、伊予札縹糸下散紅糸威胴丸具足,ジェンキンス1,頭の飾りが特徴的だな。,虚ろなる七本槍,中書島,ハマボウ2,脇坂安治さんはどうして西軍についたんですか？,まあ、西軍についたといっても途中で小早川秀秋と一緒に裏切らさせてもらったがな……。元々ワシは近江にいた頃の友人、藤堂高虎殿がいる徳川家康につこうと思っていたのだが、三成の奴が邪魔しおってな……。やむなく西軍につくことになったのじゃ。,ハマボウ1,関ヶ原では西軍を裏切ったと言ってましたけど……？,そうじゃな。元々、ワシが家康殿に裏切っても本領を安堵してくれるという約束を高虎殿が取り付けてくれていたのでな。裏切りそうな雰囲気があった小早川秀秋に対する備えだったワシは、秀秋と一緒になって大谷吉継を攻撃したのじゃ。,ハマボウ3,じゃあ、関ヶ原の後も安泰だったんですか？,そうじゃ。ワシと同じように秀秋に対する備えだったのに裏切った奴らは減封や改易となる中、ワシだけは本領の洲本3万石を全て安堵され、領地を失うことはなかった。これも高虎殿のおかげじゃ、と思って貞秀の太刀を贈ったぞ。,ワシが高虎殿に贈ったのはなんじゃ？,フフフ……秀秋の備えのワシが、まさか共に寝返るとは思うまい……。,フフフ…秀秋の備えのワシが、まさか共に寝返るとは思うまい…。,https://highsto.net/assets/images/cards/gw/脇坂安治.webp,西軍,3,1,3,3,2,人脈,5,ハマボウ3,人脈のパラメータが高いね。生まれ育った所が近い人々と仲良くしていたのが後々になって返ってきたってことだね。僕も友達は大切にしよっと。,輪違い,478
2,13,決断の号砲,小早川秀秋,戦国時代,武士・西軍・岡山藩,武士・西軍・岡山藩,1582～1602(19/21才),筑前国名島城357000石,備前国岡山城510000石,15000,決断の表情,サトリ1,一世一代の裏切り……後で汚名を被ることも考えたら、相当な重圧よね。もっとお話聞かせて？,松尾山を下れ,ジェンキンス2,秀秋は山の上から駆け下りた勢いで西軍に襲い掛かったという。,三鍬形後立鉄黒漆塗六十二間小星兜、紫糸威二枚胴具足、猩々緋羅紗地違い鎌模様陣羽織,ジェンキンス2,兜の後ろ側の飾り、赤色の鎧、そして赤色の陣羽織か……随分と派手な格好だな。,松尾山下れ,太閤の御養子,シュン6,秀秋さんはどうして西軍に？,ああ……それは僕が亡き太閤豊臣秀吉の養子だからだね。僕は豊臣秀次に次ぐ後継者だとされていたから各地の大名の接待とかしていたのに、秀頼が生まれたらお払い箱。小早川の家に行かされて、しかも朝鮮の役から帰ってきたら領地は半分に減らされて遠い場所に移らされちゃったんだ。,シュン7,それは……たしかに裏切りたくもなるかもな……。,そうさ。わかってくれるかい？　だから僕は15000の兵を引き連れて松尾山に陣取ってやった。麓には大谷吉継がいるからね。横槍を入れてやれば崩れない訳が無い。そうして関ヶ原の戦いを決定づけたのさ。,シュン7,その後はどうなったんだ？  やっぱり領地増えたのか？,増えたとも。僕と同じ豊臣一門衆だった宇喜多秀家殿の領地だった岡山を丸々もらったよ。だけど僕のやったことは、世間から恩知らずの卑怯者って言われて……。……恩って、なんだろうね？,僕が陣取ったのはどこ？,太閤の養子ってなんだよ！ずっと冷遇されてきた恨み、必ず晴らす！,太閤の養子ってなんだよ！ずっと冷遇されてきた恨み、必ず晴らす！,https://highsto.net/assets/images/cards/gw/小早川秀秋.webp,西軍,3,1,1,2,4,不遇さ,5,シュン7,秀吉の後継者として子供の時から頑張っていたのに秀頼が産まれたら捨てられて、関ヶ原で裏切った後には裏切り者と言われて、すぐに死んじゃうなんて可哀想なんだぜ……。,丸に違い鎌,466
3,10,不認知の大名,長宗我部盛親,戦国/江戸時代,武士・西軍・教育者,武士・西軍・教育者,1575～1615(26/41才),土佐国浦戸城222000石,大坂及び京都で潜伏、0石,6600,悔しがる表情,サトリ1,認めてもらいたくて戦いに来たのに、何も出来なかったなんて……。,閉ざされた南宮山,サリー2,吉川広家に行く手を塞がれた盛親は身動きが取れなかったのよ。,,未定,,頭打ちの大将,郷士愛,シオリン6,長宗我部盛親さんはどうして西軍についたの？,認めて欲しかったのだ。俺が正式な長宗我部の当主であると。本来、四男の俺は当主なんかになる立場になかったんだが、兄貴の信親が戦死すると親父の元親は、次男と三男を飛ばして俺を当主に指名したんだ。五奉行の増田長盛殿ぐらいだ、俺のことを当主だと認めてくれたのは。,シオリン6,それで、関ヶ原の戦いではどうなったの？,何も出来なかった……。何もッ、出来なかったんだよ！  あの吉川広家とかいうクソ野郎が俺の真正面を塞いで全く動かなかったんだ！  俺は！  戦って負けることも出来なかったんだ……ッ！,シオリン5,そんな事があったのね……。でも、そこで終わりじゃなかったんでしょ？,そうだ。関ヶ原のせいで土佐一国丸々失ったが、俺は京都で寺子屋を開いて潜伏することにした。そして関ヶ原から14年後、ついに豊臣秀頼様からお呼びがかかってな、大坂の陣に出撃することになるぞ。,俺の親父は誰かわかるか？　わかったら答えてくれ。,まさか、このまま何もできぬまま終わるのか？  終われぬ……終われぬぞ……！,まさか、このまま何もできぬまま終わるのか？終われぬ…終われぬぞ…！,https://highsto.net/assets/images/cards/gw/長宗我部盛親.webp,西軍,1,3,4,3,3,地元からの人気,5,シオリン8,盛親さんの故郷、土佐国では領民の人々が皆、盛親がいなくなって欲しくないって一揆を起こしたり、新しく来た山内一豊さんより盛親さんの方が良いって言っていたりしたんだって。とても愛されていたのね。,七つ片喰,502
4,11,うつけ揺蕩う,吉川広家,戦国/江戸時代,武士・西軍・長州藩,武士・西軍・長州藩,1561～1625(40/65才),伯耆国米子城140000石,周防国岩国城30000石,3000,南宮山の麓,スクナ1,この山、随分多くの兵がいるようだが、まさか全員を足止めしているのか？,自分を信じる表情,サトリ1,なるほど……、自分の家を守るために、あえて戦わないのね。,南蛮形兜、三巴具足,ジェンキンス1,通常の兜のイメージとは異なる奇抜な形をしているな。,三本の矢とは,独断不戦,シュン6,広家さんはどうして西軍へ？,俺は同世代の従兄、毛利輝元の一門衆だからだな。毛利は徳川家康の下風につくのが嫌で一族共々西軍についたのだが、どう見ても東軍有利だと思ったのでな、自ら裏切り、家名を残そうとしたのだ。,シュン5,小早川秀秋さんと一緒で、広家さんも裏切ったんだな。誰を攻撃したんだ？,あー、いや、俺は攻撃した訳じゃないんだ。むしろその逆。東軍が布陣した場所の後ろにある南宮山の麓に布陣して……あえて全く動かなかったんだ。おかげで長宗我部盛親とか輝元の息子の毛利秀元は全く動けなかったのさ。,シュン5,皆の前をふさいでたってことか！  それで、その後はどうなったんだ？,関ヶ原の後、俺たち毛利は西軍に加担した罪に問われて、改易になりそうになるんだが、西軍を裏切っていた俺は自分の領地を本家の輝元に全部渡すことで家名を残そうとしたんだ。家康殿に必死に頼み込んでさ。,俺が陣取ったのはどこかわかるか？,毛利を残すために、俺が出来ることは……これだッ！,毛利を残すために、俺が出来ることは…これだッ！,https://highsto.net/assets/images/cards/gw/吉川広家.webp,西軍,3,4,4,4,2,奇抜さ,5,シュン7,そういえば広家さんと話していて、信長みたいな感じがしたな……もしかしたら、うつけだったのかもなぁ。,丸に三つ引き,433
5,4,口惜しき義士,毛利勝永,戦国/江戸時代,武士・西軍,武士・西軍,1578～1615(23/38才),豊前国小倉城10000石,土佐国1000石,安国寺恵瓊麾下,さださねの太刀,ジェンキンス1,これは豊臣秀吉が亡くなった時に勝永が遺品としてもらったと言われるものだ。,南宮山,スクナ1,そうか、お前も安国寺恵瓊の所にいたから足止めを食らったんだな。,白糸威水牛兜、(鎧残存せず再現していない)、緋羅紗地大に渦巻文様切付陣羽織,ジェンキンス1,勝永が使っていたとされる兜と陣羽織は今も残っているものだ。,さださねの刀,ー,ハマボウ3,毛利勝永さんはどうして西軍にいったんですか？  同じ名字の毛利輝元さんとは関係ないんですよね？,ああ、名字は同じに見えるが、私は輝元殿とは直接関係は無い。関ヶ原では亡き太閤豊臣秀吉様のために戦いにいった。我が家は早くから太閤様に取り立ててもらったのでな、徳川家康如きに天下を渡すのは許せなかったのだ。,ハマボウ3,関ヶ原ではどんな活躍をしたんですか？,恥ずかしながら、何も出来なかった。その前哨戦の伊勢方面の戦いでは活躍していたのだが、いざ本戦となると共に居た安国寺恵瓊共々、吉川広家の足止めを食らってしまってな……。悔しくてたまらなかった。,ハマボウ2,でも勝永さんの本当の見せ場は関ヶ原ではないですよね？,よく知っているな。私は関ヶ原の後、知己の山内一豊殿の下に預けられるが、14年後、一豊殿の任国、土佐を抜け出して大坂に馳せ参じた。そう、大坂の陣に参上するために。,関ヶ原の14、15年後にあった戦いといえばなんだ？,東軍だろうと西軍だろうと関係ない。私は恩ある豊臣家のために戦う！,東軍だろうと西軍だろうと関係ない。私は恩ある豊臣家のために戦う！,https://highsto.net/assets/images/cards/gw/毛利勝永.webp,西軍,3,5,5,4,4,輝元との関係,1,ハマボウ1,もしかして、勝永さんって関ヶ原の戦いより後にとんでもない活躍をするのかな？  今回話していて思ったけど、勝永さんって豊臣家への忠誠心に溢れた人だよね。,鶴の丸,468
6,7,坊主大名,安国寺恵瓊,戦国時代,僧・武士・外交官・西軍,僧・武士・外交官・西軍,1539～1600(62/62才),伊予国和気郡60000石,なし,1800,安国寺,ジェンキンス1,恵瓊はその名の通り安芸国にある安国寺の僧だ。,運を天に任せて,サトリ1,信長の死を予見したアナタは、この戦いがどうなるか、知っているのね。,,未定,,大毛利の活路,外交僧への寄進,ハマボウ3,安国寺恵瓊さんはどうして西軍についたんですか？,それは拙僧が仕えていた毛利輝元様が、徳川家康殿の下につくのは嫌だ、とおっしゃっていたからだ。拙僧、長らく毛利の外交を担当してきたゆえ、家康殿に対抗できるのは、この関ヶ原が最後の機会だと思い、西軍の総大将を務めるよう説得したのだ。,ハマボウ1,外交担当で僧ってことは、あまり戦わなかったってことですか？,そのようなことはない。拙僧、関ヶ原の前哨戦では毛利勝永殿たちと共に戦っておる。しかし、いざ本戦となると拙僧と仲が悪かった吉川広家が内応。我々毛利勢を南宮山に釘付けにしてしまったのだ。,ハマボウ4,それじゃあ関ヶ原の後は……？,負けが決まってしまっては、もはや毛利に未来はないと思い逃走したが京都で追っ手に捕まってしまった。石田三成殿と共に打首になった。無念である。,拙僧の本業は何であろうか？,私の勘は、この戦、不利だと告げているが、果たして奇跡は在るだろうか？,私の勘は、この戦、不利だと告げているが、果たして奇跡は在るだろうか？,https://highsto.net/assets/images/cards/gw/安国寺恵瓊.webp,西軍,5,4,3,1,3,予知能力,5,ハマボウ4,予知能力……？  そういえば安国寺恵瓊さんって織田信長が本能寺の変で死ぬことや、豊臣秀吉が天下人になることを予見していたって聞いたことあるな。もしかして東軍が勝つと知っていたのに、あえて西軍についたのかな？,武田菱,456
7,6,独立宰相,毛利秀元,戦国/江戸時代,武士・茶人・西軍・長州藩,武士・茶人・西軍・長州藩,1579～1650(22/72才),長門国高嶺城200000石,長門国櫛崎城50000石,15000,足止めを食らう大軍,スクナ1,この陣容、15000程の兵がいそうだが、何故動かない？,空弁当,サリー2,秀元は味方の吉川広家が動かないことを咎められた時に、兵が弁当を食べていると言い訳したのよ。,,未定,,空弁当,ー,シオリン6,毛利秀元さんはどうして西軍についたの？  やっぱり毛利輝元さんと関係あるの？,そうだね。養父の輝元が徳川家康の下風につきたくないと言って、安国寺恵瓊の説得で西軍の総大将になったから僕も西軍についたんだよ。,シオリン5,お父さんの輝元さんは大坂城にいたみたいだけど、秀元さんもそうなの？,いや、僕は大坂城で待機していた父輝元の代わりに毛利の総大将として15000の兵を率いて、東軍の背後にある南宮山に布陣したよ。でも、あの吉川広家が前を塞いで動かなかったせいで、僕も皆も動けなかったんだ。,シオリン5,関ヶ原の後はどうなったの？,僕は父と一緒に国許に帰って家康殿の沙汰を待ったよ。毛利は領地を減らされちゃったけど、あの有名な長州藩となって、僕は新しく藩主になった秀就の補佐を務めたんだ。,僕たち毛利は関ヶ原の後、何藩になったかな？,広家が全く動かないのだが、どうしたことだ……。長宗我部殿に言い訳するのも限界だ……。,広家が全く動かないのだが、どうしたことだ…。長宗我部殿に言い訳するのも限界だ…。,https://highsto.net/assets/images/cards/gw/毛利秀元.webp,西軍,3,2,2,3,1,独立心,5,シオリン7,独立心……、そういえば秀元さんって関ヶ原の前に一度毛利家から独立を図ったんだけど関ヶ原の減封のせいで続かなかったのよね。晩年にもう一度長州藩から独立しようとしたって聞いたことあるわ。,長門三つ星,437
8,16,いざ有名有実へ,毛利輝元,戦国/江戸時代,武士・西軍・長州藩,武士・西軍・長州藩,1553～1625(48/73才),安芸国広島城1205000石,長門国萩城298000石,なし,秀頼公と共に出撃！,サリー1,輝元が豊臣秀頼と一緒に出撃していたら、もしかしたら西軍が勝ったかもしれないわ！,夢叶い、いざ凱旋の時,サトリ1,秀頼の隣に立って日ノ本を動かす……、これがアナタの夢だったのね。,(兜再現なし)、黒塗緋糸威当世小札胴丸具足,ジェンキンス1,関ヶ原の戦場で見せる機会はなかったが、輝元の鎧は目立つ赤色をしていた。,三矢の上の野心,五大老の意地<毛利>,シュン6,輝元さんはどうして西軍に？,ワシは西国120万石の太守で、徳川家康や宇喜多秀家と同じ五大老だったのじゃ。つまりはあの家康と同格であって、下ではないということ。関ヶ原はそれを示すための戦いだったつもりじゃ。,シュン5,輝元さんって西軍の総大将だったよな？,そうじゃ。家臣の安国寺恵瓊に言われて、ここで勝てば毛利が天下に羽ばたけるかもしれないと思ったのじゃ。あとは従弟の吉川広家や養子の毛利秀元が上手くやってくれると思ったのじゃが……。,シュン7,あれ？  輝元さんは行かなかったのか？,そうじゃ。任せた広家が西軍を裏切って滅茶苦茶になってしまったのじゃ。まあ、当の広家が領地を差し出してくれたおかげで改易だけは免れたが……。ワシも関ケ原に行けばよかったのう……。,総大将のワシは関ケ原に行ったじゃろうか？,家康よ、秀頼様の隣に相応しいのはお主では無い。このワシじゃ！,家康よ、秀頼様の隣に相応しいのはお主では無い。このワシじゃ！,https://highsto.net/assets/images/cards/gw/毛利輝元.webp,西軍,2,3,1,2,3,天下への野心,5,シュン8,天下への野心……？  そうか、輝元は家康への対抗心だけじゃなくて、毛利元就の孫として中国地方から全国を狙っていたのかもしれないな！,長門三つ星,400
9,14,西軍の主翼,宇喜多秀家,戦国/江戸時代,武士・西軍,武士・西軍,1572～1655(29/84才),備前国岡山城574000石,伊豆国附諸島八丈島0石,17000,秀吉も愛した美少年,サリー1,秀家は女と見間違うぐらいのイケメンだったらしいわよ。,必死に戦う表情,スクナ2,秀家は関ヶ原の最初から最後まで、ずっと戦っていたみたい。頑張ったね……。,月の輪の兜(実物がないので名称不明)、(鎧残存せず再現していない),ジェンキンス2,秀家の兜は残っていないが、このような前立てを付けていたようだ。,五大老の意地<宇喜多>,宇喜多騒動<主>,シュン6,秀家さんはどうして西軍に？,それはこの私が亡き太閤様、つまりは豊臣秀吉様に返しても返しきれぬ恩があったからだ。我が父直家が死んだ後、滅亡の可能性さえあった宇喜多を守ってくださり、さらに言えば、私を太閤様の子として扱ってくださったのだ。,シュン6,それで、関ヶ原ではどうなったんだ？,実は太閤様が亡くなった後、我が宇喜多の家では御家騒動があってな……。家臣や領民の多くがいなくなってしまったのだ。それでも、私は西軍でも有数の17000の兵を家臣の明石全登と率いて接敵から終戦まで6時間も戦い続けたぞ。,シュン7,凄く頑張って戦ったんだな……。でも……。,それ以上言うな。負けてしまった私は備前国を取り上げられて、遠く八丈島に流されてしまった。その期間、実に49年だ。もっと近ければ大坂の陣の時も泳いでいけたかもしれないな。だが……子孫は今も八丈島にたくさんいるから、それはそれでよかったのかもしれない。,私の家臣といえば誰だと思うか？,豊家に大恩があるこの私がやらねば誰がやるというのか！  各々方、最後まで戦い抜くぞ！,豊家に大恩があるこの私がやらねば誰がやるというのか！各々方、最後まで戦い抜くぞ！,https://highsto.net/assets/images/cards/gw/宇喜多秀家.webp,西軍,2,5,4,3,4,残りの寿命,5,シュン5,ん……残りの寿命？  あれ？  宇喜多秀家の死んだ年、誰よりも後だ！  すげえな。八丈島に流されて不便な生活だったのに長生きするなんてさ。でも死ぬ時には一緒に関ヶ原で戦った人たちが皆いなくなってるって考えたら、なんか寂しいよなぁ。,丸に剣片喰,515
10,1,切支丹宰相,明石全登,戦国/江戸時代,武士・ｷﾘｼﾀﾝ・西軍,武士・キリシタン・西軍,1569？～1618？(32/50才？),宇喜多家臣100000石,九州に逃亡,8000,輝く十字架,サトリ1,アナタ、信仰のために戦えるぐらい強い心を持っているのね。,杭瀬川の戦い,スクナ2,全登と島左近は協力して森の中で奇襲をしかけたみたいだよ。,,未定,,杭瀬川の戦い<掃部>,宇喜多騒動<従>,シオリン6,明石全登さんは、どうして西軍についたの？,それは至極単純な話。我が主君の宇喜多秀家様が西軍についたからだ。関ヶ原の前に起きた御家騒動のせいで多くの家臣が秀家様の下を離れたが、我が明石の家は秀家様に取り立てていただいた恩があるので付き従い続けたのだ。,シオリン6,関ヶ原では、どんな活躍をしたの？,さっきも言ったが、多くの家臣がいなくなってしまった宇喜多家のことは私が取り仕切るようになっていて、関ヶ原の時も17000という大軍を秀家様と分担して指揮したぞ。島左近殿と協力して杭瀬川で東軍に奇襲もしたな。あれは愉快だった。,シオリン7,そういえば……全登さんの名前どこかで聞いたことあるような？,ああ、それは関ヶ原の14年後に起きた大坂の陣でのことだろう。関ヶ原の後、我々のようなキリシタンはどんどん肩身が狭くなっていったからな、それを打ち破るため、豊臣方として参戦したのだ。,私は誰の配下だったかわかるだろうか？,皆の者、苦しい時こそ祈りを捧げよ！  勝利はもうすぐだ！,皆の者、苦しい時こそ祈りを捧げよ！勝利はもうすぐだ！,https://highsto.net/assets/images/cards/gw/明石全登.webp,西軍,4,4,4,3,4,信仰心,5,シオリン8,そういえば、明石さんって自分のお家に宣教師を住まわせて匿ったり、大坂の陣でもキリシタンの地位を守るためにわざわざ豊臣方についたりしたって聞いたことあるわ。熱烈なキリシタンだったのね。,竹丸に桐,479
